,0,1,2,3,4,5
133,1120.93,1070.15,1072.46,212.89,0,
134,1120.96,1070.19,1072.44,211.72,0,
135,1120.92,1070.15,1072.47,214.06,0,
136,1120.94,1070.17,1072.48,214.06,0,
137,1120.93,1070.17,1072.47,214.06,0,
138,1120.95,1070.16,1072.46,211.72,0,
139,1120.96,1070.15,1072.49,210.16,0,
140,1120.93,1070.19,1072.44,212.11,0,
141,1120.97,1070.14,1072.46,211.72,0,
142,1120.96,1070.18,1072.46,214.45,0,
143,1120.92,1070.15,1072.46,213.67,0,
144,1120.91,1070.17,1072.47,213.67,0,
145,1120.88,1070.13,1072.46,212.89,0,
146,1120.94,1070.16,1072.47,212.89,0,
147,1121,1070.19,1072.49,213.67,0,
148,1120.93,1070.18,1072.46,210.16,0,
149,1120.96,1070.15,1072.47,211.33,0,
150,1120.96,1070.13,1072.45,212.11,0,
151,1120.94,1070.19,1072.47,211.72,0,
152,1120.93,1070.18,1072.46,213.67,0,
153,1120.97,1070.2,1072.46,213.67,0,
154,1121.01,1070.17,1072.46,212.11,0,
155,1120.98,1070.15,1072.46,212.5,0,
156,1120.94,1070.14,1072.46,211.33,0,
157,1120.93,1070.14,1072.44,212.11,0,
158,1120.97,1070.13,1072.46,212.5,0,
159,1120.88,1070.14,1072.47,211.72,0,
160,1120.89,1070.2,1072.45,213.67,0,
161,1120.93,1070.18,1072.45,210.94,0,
162,1120.9,1070.21,1072.47,214.06,0,
163,1120.99,1070.16,1072.47,212.5,0,
164,1120.92,1070.17,1072.45,212.11,0,
165,1120.97,1070.13,1072.44,212.89,0,
166,1120.92,1070.16,1072.47,212.89,0,
167,1120.94,1070.15,1072.49,212.89,0,
168,1120.93,1070.15,1072.45,212.11,0,
169,1120.97,1070.17,1072.45,213.28,0,
170,1120.95,1070.16,1072.46,212.11,0,
171,1120.88,1070.16,1072.44,212.89,0,
172,1120.93,1070.13,1072.47,212.5,0,
173,1120.93,1070.15,1072.46,211.33,0,
174,1120.92,1070.17,1072.45,212.11,0,
175,1120.92,1070.14,1072.48,211.72,0,
176,1120.94,1070.16,1072.46,213.67,0,
177,1120.91,1070.16,1072.46,214.06,0,
178,1120.9,1070.17,1072.44,212.89,0,
179,1120.97,1070.14,1072.48,212.11,0,
180,1120.95,1070.16,1072.47,213.67,0,
181,1120.93,1070.15,1072.46,212.11,0,
182,1120.91,1070.17,1072.46,212.11,0,
183,1120.97,1070.14,1072.47,212.11,0,
184,1120.95,1070.16,1072.46,214.45,0,
185,1120.91,1070.18,1072.44,214.06,0,
186,1120.98,1070.18,1072.45,213.67,0,
187,1120.87,1070.15,1072.44,212.11,0,
188,1120.95,1070.17,1072.49,212.11,0,
189,1120.91,1070.16,1072.46,212.11,0,
190,1120.99,1070.16,1072.48,211.33,0,
191,1120.9,1070.17,1072.48,211.72,0,
192,1120.97,1070.13,1072.49,212.11,0,
193,1120.92,1070.16,1072.47,213.28,0,
194,1120.93,1070.16,1072.45,211.72,0,
195,1120.93,1070.14,1072.44,211.72,0,
196,1120.91,1070.15,1072.43,213.28,0,
197,1120.93,1070.16,1072.48,212.89,0,
198,1120.95,1070.16,1072.46,213.67,0,
199,1120.94,1070.13,1072.46,211.72,0,
200,1120.96,1070.15,1072.46,213.28,0,
201,1120.97,1070.17,1072.44,212.11,0,
202,1120.94,1070.17,1072.48,212.5,0,
203,1120.92,1070.16,1072.47,214.06,0,
204,1120.94,1070.16,1072.46,210.94,0,
205,1120.95,1070.16,1072.45,211.72,0,
206,1120.91,1070.14,1072.44,211.33,0,
207,1120.93,1070.16,1072.44,210.94,0,
208,1120.91,1070.2,1072.43,212.5,0,
209,1120.94,1070.13,1072.44,211.72,0,
210,1120.96,1070.15,1072.44,212.5,0,
