,0,1,2,3,4,5
236,1116.8,1065.76,1068.41,212.5,0,
237,1116.75,1065.77,1068.45,211.72,0,
238,1116.73,1065.78,1068.44,212.89,0,
239,1116.78,1065.77,1068.41,210.94,0,
240,1116.73,1065.75,1068.44,212.5,0,
241,1116.78,1065.78,1068.41,212.5,0,
242,1116.73,1065.79,1068.41,210.55,0,
243,1116.82,1065.78,1068.43,211.33,0,
244,1116.81,1065.78,1068.43,211.33,0,
245,1116.71,1065.8,1068.43,212.11,0,
246,1116.72,1065.76,1068.44,212.89,0,
247,1116.76,1065.81,1068.4,211.72,0,
248,1116.79,1065.79,1068.43,211.72,0,
249,1116.71,1065.79,1068.41,211.72,0,
250,1116.79,1065.81,1068.42,210.94,0,
251,1116.76,1065.74,1068.43,211.33,0,
252,1116.81,1065.79,1068.41,212.89,0,
253,1116.78,1065.78,1068.44,210.94,0,
254,1116.76,1065.81,1068.43,210.94,0,
255,1116.79,1065.8,1068.43,212.11,0,
256,1116.77,1065.83,1068.41,211.33,0,
257,1116.79,1065.8,1068.46,212.11,0,
258,1116.76,1065.78,1068.47,211.72,0,
259,1116.76,1065.8,1068.46,210.55,0,
260,1116.74,1065.81,1068.42,210.16,0,
261,1116.72,1065.79,1068.42,210.94,0,
262,1116.83,1065.8,1068.46,210.55,0,
263,1116.75,1065.77,1068.43,212.89,0,
264,1116.81,1065.81,1068.44,212.89,0,
265,1116.76,1065.81,1068.43,210.55,0,
266,1116.78,1065.82,1068.41,213.28,0,
267,1116.82,1065.83,1068.45,213.67,0,
268,1116.8,1065.79,1068.45,210.94,0,
269,1116.79,1065.81,1068.43,211.33,0,
270,1116.81,1065.82,1068.45,211.33,0,
271,1116.82,1065.82,1068.44,212.89,0,
272,1116.74,1065.79,1068.44,212.5,0,
273,1116.74,1065.77,1068.42,212.11,0,
274,1116.8,1065.85,1068.44,212.11,0,
275,1116.73,1065.81,1068.42,211.33,0,
276,1116.86,1065.84,1068.45,210.94,0,
277,1116.73,1065.81,1068.46,212.11,0,
278,1116.84,1065.84,1068.43,210.94,0,
279,1116.75,1065.84,1068.43,211.72,0,
280,1116.78,1065.86,1068.44,211.33,0,
281,1116.82,1065.84,1068.39,211.33,0,
282,1116.8,1065.85,1068.46,211.33,0,
283,1116.74,1065.85,1068.45,212.11,0,
284,1116.86,1065.83,1068.42,212.5,0,
285,1116.71,1065.83,1068.44,210.55,0,
