,0,1,2,3,4,5
64,1124.38,1073.46,1075.56,213.67,0,
65,1124.39,1073.48,1075.58,213.28,0,
66,1124.43,1073.45,1075.6,211.72,0,
67,1124.35,1073.43,1075.55,212.89,0,
68,1124.4,1073.45,1075.58,210.94,0,
69,1124.38,1073.46,1075.58,212.89,0,
70,1124.41,1073.48,1075.58,213.28,0,
71,1124.41,1073.46,1075.56,212.11,0,
72,1124.39,1073.48,1075.56,212.5,0,
73,1124.39,1073.44,1075.58,211.72,0,
74,1124.37,1073.46,1075.57,212.11,0,
75,1124.43,1073.44,1075.59,212.5,0,
76,1124.38,1073.46,1075.58,210.94,0,
77,1124.4,1073.43,1075.55,212.89,0,
78,1124.43,1073.44,1075.56,211.72,0,
79,1124.38,1073.47,1075.59,213.28,0,
80,1124.37,1073.47,1075.58,213.67,0,
81,1124.45,1073.44,1075.58,213.28,0,
82,1124.4,1073.45,1075.6,212.5,0,
83,1124.43,1073.45,1075.57,211.72,0,
84,1124.43,1073.45,1075.57,213.28,0,
85,1124.39,1073.46,1075.55,210.94,0,
86,1124.37,1073.43,1075.57,211.33,0,
87,1124.37,1073.47,1075.56,213.28,0,
88,1124.35,1073.48,1075.57,211.72,0,
89,1124.41,1073.44,1075.61,212.5,0,
90,1124.34,1073.42,1075.56,212.89,0,
91,1124.37,1073.46,1075.6,212.5,0,
92,1124.32,1073.46,1075.61,211.72,0,
93,1124.45,1073.45,1075.59,213.67,0,
94,1124.38,1073.45,1075.56,213.67,0,
95,1124.43,1073.46,1075.6,211.33,0,
96,1124.35,1073.48,1075.58,211.72,0,
97,1124.38,1073.43,1075.59,213.28,0,
98,1124.38,1073.44,1075.56,212.89,0,
99,1124.42,1073.44,1075.58,211.33,0,
100,1124.37,1073.45,1075.6,213.28,0,
101,1124.38,1073.43,1075.58,210.94,0,
102,1124.38,1073.45,1075.58,210.55,0,
103,1124.42,1073.47,1075.62,211.33,0,
104,1124.37,1073.46,1075.56,213.28,0,
105,1124.39,1073.46,1075.54,210.94,0,
106,1124.37,1073.44,1075.6,211.33,0,
107,1124.35,1073.49,1075.58,210.55,0,
108,1124.38,1073.45,1075.55,210.94,0,
109,1124.36,1073.47,1075.58,211.33,0,
110,1124.35,1073.47,1075.58,211.72,0,
111,1124.35,1073.45,1075.62,211.72,0,
112,1124.45,1073.45,1075.61,213.67,0,
113,1124.4,1073.43,1075.58,211.72,0,
114,1124.4,1073.45,1075.56,211.72,0,
115,1124.46,1073.46,1075.56,211.33,0,
116,1124.4,1073.48,1075.59,213.28,0,
117,1124.43,1073.46,1075.58,213.28,0,
119,1124.37,1073.44,1075.59,212.11,0,
120,1124.36,1073.45,1075.6,211.72,0,
121,1124.36,1073.44,1075.58,211.72,0,
122,1124.37,1073.44,1075.59,212.11,0,
123,1124.36,1073.45,1075.6,211.72,0,
124,1124.36,1073.44,1075.58,211.72,0,
125,1124.33,1073.47,1075.58,210.16,0,
126,1124.39,1073.41,1075.56,213.28,0,
127,1124.36,1073.45,1075.58,214.45,0,
128,1124.3,1073.42,1075.56,213.67,0,
129,1124.31,1073.47,1075.61,212.89,0,
130,1124.33,1073.44,1075.59,214.06,0,
131,1124.32,1073.47,1075.59,212.11,0,
132,1124.34,1073.44,1075.57,213.67,0,
133,1124.35,1073.46,1075.6,213.67,0,
134,1124.41,1073.48,1075.58,212.89,0,
135,1124.39,1073.45,1075.59,212.11,0,
136,1124.33,1073.44,1075.62,213.67,0,
137,1124.31,1073.46,1075.6,212.11,0,
138,1124.41,1073.4,1075.56,212.11,0,
139,1124.34,1073.46,1075.59,214.45,0,
140,1124.39,1073.43,1075.6,212.11,0,
141,1124.36,1073.45,1075.57,211.72,0,
142,1124.34,1073.42,1075.56,214.45,0,
143,1124.43,1073.43,1075.56,212.11,0,
144,1124.36,1073.45,1075.6,214.45,0,
145,1124.36,1073.44,1075.59,212.11,0,
146,1124.37,1073.43,1075.6,213.67,0,
147,1124.43,1073.43,1075.58,212.11,0,
148,1124.34,1073.47,1075.59,212.11,0,
149,1124.3,1073.45,1075.59,211.72,0,
150,1124.36,1073.46,1075.63,212.5,0,
151,1124.33,1073.44,1075.6,210.94,0,
152,1124.35,1073.42,1075.57,212.11,0,
153,1124.36,1073.43,1075.6,214.06,0,
154,1124.38,1073.47,1075.61,211.33,0,
155,1124.41,1073.49,1075.59,212.89,0,
156,1124.36,1073.47,1075.59,213.67,0,
157,1124.35,1073.41,1075.62,212.11,0,
158,1124.3,1073.43,1075.56,210.94,0,
159,1124.32,1073.43,1075.59,212.11,0,
160,1124.4,1073.41,1075.61,210.94,0,
161,1124.33,1073.42,1075.6,212.11,0,
162,1124.36,1073.42,1075.59,211.72,0,
163,1124.34,1073.45,1075.6,212.89,0,
164,1124.32,1073.43,1075.59,213.28,0,
165,1124.32,1073.43,1075.56,214.45,0,
166,1124.38,1073.43,1075.57,212.5,0,
167,1124.34,1073.43,1075.57,211.33,0,
168,1124.37,1073.46,1075.6,212.89,0,
169,1124.37,1073.43,1075.58,212.11,0,
170,1124.43,1073.43,1075.59,212.11,0,
171,1124.38,1073.46,1075.59,214.06,0,
172,1124.35,1073.38,1075.58,211.33,0,
173,1124.41,1073.44,1075.59,211.72,0,
174,1124.41,1073.4,1075.58,212.89,0,
175,1124.45,1073.43,1075.59,211.33,0,
176,1124.33,1073.43,1075.56,212.5,0,
177,1124.36,1073.44,1075.61,213.28,0,
