,0,1,2,3,4,5,6
106,1058.21,1058.19,1057.5,219.14,0,,
107,1058.21,1058.22,1057.5,221.48,0,,
108,1058.18,1058.18,1057.44,220.31,0,,
109,1058.22,1058.16,1057.41,219.14,0,,
110,1058.17,1058.19,1057.43,219.14,0,,
111,1058.18,1058.21,1057.46,219.53,0,,
112,1058.14,1058.19,1057.49,220.7,0,,
113,1058.14,1058.22,1057.55,221.48,0,,
114,1058.16,1058.23,1057.52,219.92,0,,
115,1058.2,1058.23,1057.5,220.31,0,,
116,1058.17,1058.19,1057.45,220.31,0,,
117,1058.18,1058.18,1057.42,220.31,0,,
118,1058.18,1058.17,1057.4,221.48,0,,
119,1058.17,1058.2,1057.47,219.53,0,,
120,1058.22,1058.26,1057.49,219.53,0,,
121,1058.15,1058.21,1057.5,221.09,0,,
122,1058.19,1058.25,1057.55,221.09,0,,
123,1058.18,1058.25,1057.5,219.53,0,,
124,1058.2,1058.19,1057.48,221.09,0,,
125,1058.21,1058.19,1057.4,219.92,0,,
126,1058.15,1058.17,1057.43,219.92,0,,
127,1058.16,1058.21,1057.46,221.09,0,,
128,1058.2,1058.27,1057.49,220.7,0,,
129,1058.19,1058.26,1057.52,219.92,0,,
130,1058.18,1058.23,1057.51,219.53,0,,
131,1058.2,1058.2,1057.47,220.31,0,,
132,1058.2,1058.19,1057.44,220.31,0,,
133,1058.2,1058.2,1057.42,220.31,0,,
134,1058.17,1058.17,1057.43,219.53,0,,
135,1058.21,1058.19,1057.46,220.31,0,,
136,1058.16,1058.25,1057.5,219.53,0,,
137,1058.13,1058.24,1057.48,219.53,0,,
138,1058.16,1058.22,1057.53,220.7,0,,
139,1058.16,1058.23,1057.48,220.31,0,,
140,1058.22,1058.22,1057.46,220.7,0,,
141,1058.21,1058.17,1057.41,219.92,0,,
142,1058.19,1058.21,1057.41,219.53,0,,
143,1058.17,1058.17,1057.44,221.09,0,,
144,1058.19,1058.19,1057.47,220.7,0,,
145,1058.16,1058.26,1057.51,220.31,0,,
146,1058.19,1058.23,1057.53,219.53,0,,
147,1058.16,1058.25,1057.51,219.53,0,,
148,1058.18,1058.23,1057.48,220.31,0,,
149,1058.21,1058.19,1057.45,219.14,0,,
150,1058.23,1058.18,1057.4,221.09,0,,
151,1058.18,1058.18,1057.4,219.14,0,,
152,1058.17,1058.23,1057.48,219.92,0,,
153,1058.15,1058.24,1057.49,219.53,0,,
154,1058.14,1058.23,1057.51,219.92,0,,
155,1058.16,1058.26,1057.53,219.53,0,,
156,1058.2,1058.21,1057.45,219.53,0,,
157,1058.2,1058.2,1057.46,219.53,0,,
158,1058.2,1058.19,1057.39,219.92,0,,
159,1058.2,1058.21,1057.4,219.92,0,,
160,1058.18,1058.21,1057.45,219.14,0,,
